Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
547,Adrian Tigert\adrian-tigert-1,2002,2006,Milwaukee,Horizon,120,3365,,.635,.616,,,13.2,18.4,,1.1,18.9,15.8,,,,8.3,7.6,15.9,,,
548,Kyle Weaver\kyle-weaver-1,2005,2008,Washington State,Pac-10,121,3602,,.540,.489,,,9.4,28.4,,1.7,22.9,21.2,,,,5.4,10.5,15.9,,,
549,Cassius Winston\cassius-winston-1,2017,2019,Michigan State,Big Ten,109,3017,22.2,.608,.560,1.1,9.2,5.6,44.9,1.7,0.4,19.3,24.3,1589,121.6,100.8,11.2,4.7,15.9,7.6,0.7,8.3
550,D.J. Balentine\dj-balentine-1,2013,2016,Evansville,MVC,139,4644,19.3,.550,.500,1.9,7.9,5.0,23.4,1.1,0.6,11.6,29.0,2309,109.1,105.7,11.1,4.8,15.8,3.6,-1.8,1.9
551,Luke Hancock\luke-hancock-1,2010,2014,Total,Total,141,3439,19.2,.591,.539,4.1,11.0,7.6,21.2,2.4,1.1,17.1,20.6,1382,117.3,95.8,9.4,6.5,15.8,5.9,2.5,8.4
552,Chris Hill\chris-hill-2,2002,2005,Michigan State,Big Ten,129,3712,,.614,.594,,,6.2,25.1,,0.3,16.3,21.2,,,,11.4,4.4,15.8,,,
553,Alex Jensen\alex-jensen-2,1998,2000,Utah,Total,99,,,.624,.596,,,,,,,,,,,,8.8,7.1,15.8,,,
554,Orlando Johnson\orlando-johnson-1,2008,2012,Total,Total,124,3878,26.2,.566,.526,6.4,14.3,10.5,21.1,1.9,2.1,14.2,31.3,1703,114.3,100.6,11.9,3.9,15.8,6.2,-0.3,5.9
555,Christian Maraker\christian-maraker-1,2002,2006,Pacific,Big West,124,3581,,.578,.531,,,13.0,8.5,,1.3,14.6,24.2,,,,9.5,6.3,15.8,,,
556,Derrick Marks\derrick-marks-1,2012,2015,Boise State,MWC,127,3538,23.7,.565,.513,2.4,14.7,8.3,24.3,3.3,1.8,16.4,30.6,1851,109.2,97.9,9.8,6.0,15.8,3.4,2.2,5.6
557,Jack McClinton\jack-mcclinton-1,2005,2009,Total,Total,125,3982,,.581,.531,,,4.7,19.5,,0.1,14.8,27.6,,,,11.8,4.0,15.8,,,
558,Eduardo Najera\eduardo-najera-1,1997,2000,Oklahoma,Big 12,126,3001,,.495,.460,,,,,,,13.1,,,,,3.5,12.2,15.8,,,
559,Adam Parada\adam-parada-1,2001,2004,UC-Irvine,Big West,119,2313,,.602,.566,,,15.9,8.6,,3.6,17.7,24.8,,,,9.0,6.8,15.8,,,
560,Karim Souchu\karim-souchu-1,2000,2003,Furman,Southern,117,2749,,.549,.533,,,9.4,11.7,,0.7,11.7,30.0,,,,9.2,6.6,15.8,,,
561,Keith Van Horn\keith-van-horn-1,1996,1997,Utah,WAC,64,1998,,.626,.573,,,,,,,12.0,,,,,10.5,5.3,15.8,,,
562,Derrick Walton\derrick-walton-1,2014,2017,Michigan,Big Ten,127,4053,18.9,.574,.514,1.8,15.8,8.9,23.3,2.3,0.2,14.9,20.8,1580,117.0,103.3,10.4,5.4,15.8,5.5,2.4,8.0
563,Reggie Williams\reggie-williams-3,2005,2008,Virginia Military Institute,Big South,112,3789,,.579,.550,3.6,,9.5,17.1,,0.3,12.1,25.7,398,107.5,,11.3,4.5,15.8,,,
564,Brendan Winters\brendan-winters-1,2003,2006,Davidson,Southern,118,2998,,.585,.540,,,8.6,13.2,,0.2,14.1,25.0,,,,10.8,5.0,15.8,,,
565,Delon Wright\delon-wright-1,2014,2015,Utah,Pac-12,68,2367,28.1,.629,.565,4.3,15.4,10.3,30.8,4.0,3.5,15.8,22.1,1114,127.5,89.0,9.5,6.3,15.8,7.5,7.1,14.6
566,Justin Wright-Foreman\justin-wright-foreman-1,2016,2019,Hofstra,CAA,125,3507,25.4,.601,.565,1.4,10.8,6.1,16.3,1.4,0.6,9.9,30.9,2068,120.3,111.4,13.8,2.0,15.8,5.6,-3.4,2.2
567,Maceo Baston\maceo-baston-1,1996,1998,Michigan,Big Ten,96,1601,,.641,.617,,,,,,,19.6,,,,,8.9,6.9,15.7,,,
568,Anatoly Bose\anatoly-bose-1,2008,2011,Nicholls State,Southland,120,3763,24.6,.578,.526,4.8,19.0,11.6,14.2,2.2,0.7,15.0,31.9,1133,107.8,102.3,11.6,4.1,15.7,1.9,-1.7,0.2
