Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
21,Robert Gray Jr.\robert-grayjr-1,2018,2018,Houston,AAC,34,1084,24.6,.563,.509,2.5,10.4,6.5,28.5,2.0,0.4,12.0,30.4,644,118.6,98.2,4.0,2.0,6.1,6.7,1.7,8.4
22,Tony Carr\tony-carr-1,2018,2018,Penn State,Big Ten,37,1308,22.2,.527,.482,3.0,13.4,8.2,29.3,1.4,0.9,11.0,29.9,736,114.2,102.3,4.0,1.9,6.0,5.5,1.1,6.6
23,Zach Lofton\zach-lofton-1,2018,2018,New Mexico State,WAC,33,1054,23.6,.588,.547,3.8,13.3,8.6,10.6,1.9,0.4,11.2,29.1,584,118.3,93.2,3.6,2.4,6.0,5.6,0.2,5.8
24,Yante Maten\yante-maten-1,2018,2018,Georgia,SEC,33,1131,27.1,.567,.497,11.8,15.7,13.8,11.6,0.8,4.7,10.7,28.7,607,120.1,101.1,4.2,1.8,6.0,5.9,3.5,9.4
25,Grayson Allen\grayson-allen-1,2018,2018,Duke,ACC,37,1319,18.8,.580,.536,1.8,8.0,5.1,21.2,2.8,0.2,13.8,20.7,574,123.3,102.1,4.0,2.0,5.9,7.1,2.3,9.4
26,Bogdan Bliznyuk\bogdan-bliznyuk-1,2018,2018,Eastern Washington,Big Sky,35,1228,25.8,.629,.573,3.3,19.7,11.7,24.9,1.4,0.9,16.8,30.2,736,116.4,104.3,4.3,1.6,5.9,4.5,0.4,4.9
27,Wendell Carter Jr.\wendell-carterjr-1,2018,2018,Duke,ACC,37,997,28.2,.628,.591,12.8,23.2,18.4,13.0,1.7,7.6,15.8,22.8,501,125.3,92.8,3.6,2.3,5.9,6.0,7.5,13.5
28,Jacob Evans\jacob-evans-1,2018,2018,Cincinnati,AAC,36,1107,20.5,.543,.507,5.2,12.0,8.7,20.0,2.6,3.7,12.7,22.5,461,116.5,88.3,2.8,3.1,5.9,4.5,6.1,10.6
29,Devon Hall\devon-hall-1,2018,2018,Virginia,ACC,34,1091,20.3,.599,.552,1.4,14.9,8.3,19.6,1.8,0.6,9.6,19.5,392,124.8,92.4,3.3,2.6,5.9,6.0,4.5,10.5
30,C.J. Massinburg\cj-massinburg-1,2018,2018,Buffalo,MAC,36,1223,22.4,.608,.574,7.1,16.2,11.6,11.9,1.8,1.3,10.4,21.4,590,126.7,102.9,4.2,1.7,5.9,6.2,0.9,7.1
31,Andre Spight\andre-spight-1,2018,2018,Northern Colorado,Big Sky,38,1285,23.5,.573,.540,1.7,10.9,6.3,22.0,1.9,0.7,13.0,32.2,819,112.0,100.4,3.8,2.1,5.9,4.4,-0.8,3.6
32,Dean Wade\dean-wade-1,2018,2018,Kansas State,Big 12,33,1083,26.7,.633,.606,5.0,17.9,11.6,18.3,2.8,3.1,10.0,23.2,504,126.0,98.4,3.9,2.0,5.9,6.7,4.8,11.5
33,Elijah Bryant\elijah-bryant-1,2018,2018,Brigham Young,WCC,35,1215,23.1,.647,.598,1.7,20.6,11.5,13.8,2.1,1.8,14.0,25.1,569,117.9,98.3,3.5,2.2,5.8,5.1,1.9,7.0
34,Chris Clemons\chris-clemons-2,2018,2018,Campbell,Big South,31,1055,29.3,.611,.545,1.2,14.7,8.2,21.0,2.7,1.0,11.6,36.0,712,117.3,103.1,4.3,1.5,5.8,5.7,-3.4,2.3
35,John Konchar\john-konchar-1,2018,2018,Purdue-Fort Wayne,Summit,33,1180,23.9,.586,.572,6.2,20.0,12.9,23.2,3.7,2.1,11.4,19.1,543,125.1,99.1,3.7,2.1,5.8,4.4,2.8,7.3
36,Zach Thomas\zach-thomas-1,2018,2018,Bucknell,Patriot,35,1113,26.0,.603,.533,4.8,26.3,16.0,13.4,1.7,2.1,14.8,30.6,671,114.9,96.3,3.6,2.3,5.8,3.0,0.9,3.9
37,Cassius Winston\cassius-winston-1,2018,2018,Michigan State,Big Ten,35,985,23.3,.681,.640,0.9,11.3,6.7,43.7,1.4,0.2,21.1,21.0,497,131.2,99.8,4.2,1.7,5.8,9.0,0.7,9.7
38,Michael Oguine\michael-oguine-1,2018,2018,Montana,Big Sky,34,1096,22.9,.568,.521,7.6,12.6,10.0,11.7,2.5,1.8,8.7,23.2,524,123.2,97.8,3.6,2.1,5.7,4.7,1.4,6.0
39,Moritz Wagner\moritz-wagner-1,2018,2018,Michigan,Big Ten,39,1078,24.7,.619,.605,6.5,24.7,15.7,6.7,2.1,2.0,10.8,25.9,499,117.3,92.3,3.1,2.6,5.7,4.6,3.6,8.1
